Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AKCIJA MLADIH - AM, ALTERNATIVA 101 - ALTERNATIVA;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  SANJA BOSNIÆ;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  GORAN GALOVIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;ISTARSKI DEMOKRATSKI SABOR - IDS, ISTARSKA STRANKA UMIROVLJENIKA - PARTITO ISTRIANO DEI PENSIONATI - ISU - PIP;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  MARINO PARETIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA STRANKA UMIROVLJENIKA - HSU
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;001;BABIÆI-BABICI;DRUŠTVENI DOM BABIÆI;BABIÆI BB;840;300;300;293;7;23;17;23;14;82;6;128
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;002;JURICANI-GIURIZZANI;PODRUÈNA ŠKOLA JURICANI;JURICANI 2;803;284;284;277;7;22;12;14;10;72;5;142
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;003;PETROVIJA-PETROVIA;PODRUÈNA ŠKOLA PETROVIJA;UMAŠKA ULICA 14;696;280;280;274;6;15;9;9;23;73;13;132
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;004;SEGET-SEGHETTO;"""DVORAC"" SEGET";SEGET 12;703;247;247;243;4;17;4;17;24;45;12;124
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;005;BAŠANIJA-BASSANIA;DRUŠTVENI DOM BAŠANIJA;BAŠANIJA BB;1099;354;354;345;9;49;15;25;29;67;29;131
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;006;MURINE-MORNO;PODRUÈNA ŠKOLA MURINE;PRVA ULICA 3;925;317;317;305;12;31;12;22;41;52;20;127
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;007;SVETA MARIJA NA KRASU-MADONNA DEL CARSO;DRUŠTVENI DOM SV.MARIJA NA KRASU;SVETA MARIJA NA KRASU BB;867;285;285;277;8;22;16;19;24;84;10;102
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;008;UMAG-UMAGO;"OSNOVNA ŠKOLA ""MARIJA I LINA""";ŠKOLSKA 14;1242;456;456;437;19;45;37;38;35;76;40;166
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;009;UMAG-UMAGO;"OSNOVNA ŠKOLA ""MARIJA I LINA""";ŠKOLSKA 14;1012;323;323;315;8;21;18;36;24;55;14;147
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;010;UMAG-UMAGO;"OSNOVNA ŠKOLA ""MARIJA I LINA""";ŠKOLSKA 14;1066;387;387;380;7;38;18;28;38;61;13;184
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;011;UMAG-UMAGO;"OSNOVNA ŠKOLA ""MARIJA I LINA""";ŠKOLSKA 14;1256;424;424;406;18;24;16;33;18;83;24;208
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;012;UMAG-UMAGO;"OSNOVNA ŠKOLA ""MARIJA I LINA""";ŠKOLSKA 14;1267;410;410;392;18;27;21;33;44;52;19;196
18;ISTARSKA ŽUPANIJA;grad;UMAG - UMAGO;013;UMAG-UMAGO;"OSNOVNA ŠKOLA ""MARIJA I LINA""";ŠKOLSKA 14;1021;352;352;343;9;19;16;27;29;48;19;185
