Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ĐURO CAPOR;MATO FRANKOVIĆ;IVANA KONČEVSKI;MARO KRISTIĆ;ŽELJKO RAGUŽ;IVAN TROPAN;PERO VIĆAN;ANDRO VLAHUŠIĆ
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;001;BRSEČINE M.O. BRSEČINE;MJESNI ODBOR BRSEČINE;BRSEČINE BB;83;63;63;63;0;2;43;1;1;0;1;11;4
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;002;DUBRAVICA M.O.DUBRAVICA;KUĆA ANE MILIĆ;DUBRAVICA BB;29;21;21;21;0;0;12;0;0;0;0;9;0
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;003;DUBROVNIK G.K. PLOČE IZA GRADA;GIMNAZIJA I;FRANA SUPILA 3;803;414;414;409;5;102;130;15;19;26;26;47;44
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;004;DUBROVNIK G.K. PLOČE IZA GRADA;GIMNAZIJA II;FRANA SUPILA 3;667;341;341;332;9;69;113;7;14;12;27;26;64
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;005;DUBROVNIK G.K. PLOČE IZA GRADA;UGOSTITELJSKA ŠKOLA;ŽUPSKA BROJ 2;533;252;252;246;6;38;104;2;14;9;16;20;43
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;006;DUBROVNIK G.K. GRAD;"OSNOVNA ŠKOLA ""MARINA GETALDIĆA"" DVORANA B";N.GUČETIĆA 1;789;423;422;416;6;93;174;7;20;17;33;31;41
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;007;DUBROVNIK G.K. GRAD;"OSNOVNA ŠKOLA ""MARINA GETALDIĆA"" DVORANA A";N. GUČETIĆA 1;1093;587;586;570;16;112;227;13;37;37;34;58;52
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;008;DUBROVNIK G.K. PILE-KONO;POSLIJE DIPLOMSKO SREDIŠTE;DON FRANA BULIĆA 4;1011;503;502;495;7;96;188;5;31;22;50;39;64
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;009;DUBROVNIK G.K. PILE - KONO;"OSNOVNA ŠKOLA ""MARINA DRŽIĆA""";VOLANTINA  6;1366;737;737;718;19;125;224;6;82;29;55;83;114
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;DUBROVNIK;010;DUBROVNIK G.K. PILE - KONO;ZAVOD ZA ZAPOŠLJAVANJE;V. NAZORA  5;1007;484;484;474;10;85;170;6;33;27;24;68;61
