Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SELJAČKA STRANKA - HSS, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;MOST;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, PLOČANSKA STRANKA - PLS
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;001;PLOČE;SREDNJA ŠKOLA FRA A.K.MIOŠIĆA;PLOČE;714;476;476;460;16;25;109;24;302
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;002;PLOČE;"OŠ ""VLADIMIR NAZOR""";PLOČE;761;472;472;464;8;29;137;14;284
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;003;PLOČE;DJEČJI VRTIĆ U PLOČAMA;PLOČE;710;456;456;441;15;20;111;18;292
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;004;PLOČE;MJESNI ODBOR U PLOČAMA;V. NAZORA 45;530;351;351;343;8;17;72;26;228
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;005;PLOČE;PUČKO UČILIŠTE U PLOČAMA;PLOČE;242;159;159;156;3;7;56;3;90
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;006;PLOČE;PROSTORIJE GRADA PLOČA;TRG KRALJA TOMISLAVA 23;914;615;615;600;15;24;154;26;396
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;007;STABLINA;MJESNI ODBOR U STABLINI;STABLINA;763;574;574;552;22;18;221;21;292
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;008;KOMIN;DOM KULTURE U KOMINU;KOMIN;1004;668;668;641;27;39;363;115;124
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;009;ROGOTIN;DOM KULTURE U ROGOTINU;ROGOTIN;558;406;406;387;19;10;272;35;70
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;010;ŠARIĆ STRUGA;DOM KULTURE U ŠARIĆ STRUGI;ŠARIĆ STRUGA;188;131;131;126;5;4;58;8;56
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;011;BANJA;"""KUĆA POK.JOKE BATINOVIĆA""";PUT VRILA 5, BANJA;152;111;111;110;1;2;31;22;55
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;012;BAĆINA;DOM KULTURE U BAĆINI;BAĆINA;499;331;331;326;5;46;54;13;213
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;013;PERAČKO BLATO;DOM KULTURE U PERAČKOM BLATU;PERAČKO BLATO;262;207;207;200;7;11;37;7;145
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;014;STAŠEVICA;DOM KULTURE-ZGRADA STARE ŠKOLE U STAŠEVICI;STAŠEVICA;458;332;332;324;8;4;124;7;189
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;grad;PLOČE;015;STAŠEVICA-SPILICE;DOM KULTURE U STAŠEVICI -SPILICE;STAŠEVICA-SPILICE;321;228;228;223;5;2;90;5;126
