Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;SMILJAN MUSTAPIĆ;DARIO SRŠEN
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;SLIVNO;001;BLACE;PROSTORIJE PODRUČNE OSNOVNE ŠKOLE;BLACE;270;172;172;168;4;88;80
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;SLIVNO;002;DUBOKA;DOM U DUBOKOJ;DUBOKA;113;52;52;51;1;37;14
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;SLIVNO;003;KLEK;PROSTORIJE TURISTIČKOG NASELJA KLEK;KLEK, TRG PALMI 1 A;214;113;113;110;3;73;37
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;SLIVNO;004;KOMARNA;PROSTORIJE VILE BILI IVE JERKOVIĆA;KOMARNA, KOMARNA 79;176;102;102;100;2;58;42
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;SLIVNO;005;MIHALJ;PROSTORIJE BIVŠE TRGOVINE   U MIHALJU;MIHALJ;191;116;116;114;2;92;22
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;SLIVNO;006;OTOK;PROSTORIJE STAMBENOG OBJEKTA TONĆE PALINIĆA POK.STANKE U OTOKU;OTOK;64;52;52;51;1;40;11
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;SLIVNO;007;PODGRADINA;OPĆINSKA VIJEĆNICA;PODGRADINA;208;114;114;107;7;73;34
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;SLIVNO;008;TRN;PROSTORIJE  MJESNOG ODBORA U TRNU;TRN;134;93;93;93;0;60;33
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;SLIVNO;009;TUŠTEVAC;MJESNI ODBOR;TUŠTEVAC;124;81;81;73;8;63;10
19;DUBROVAČKO-NERETVANSKA ŽUPANIJA;općina;SLIVNO;010;VLAKA;PROSTORIJE MJESNOG ODBORA NA VLACI;VLAKA, A. STEPINCA 102/1;239;165;165;158;7;117;41
