Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;LJUBOMIR KOLAREK;NIKOLA OTO
20;MEĐIMURSKA ŽUPANIJA;grad;PRELOG;001;CIRKOVLJAN;DOM KULTURE;DONJA ULICA 1;673;322;322;311;11;183;128
20;MEĐIMURSKA ŽUPANIJA;grad;PRELOG;002;ČEHOVEC;DOM KULTURE;ČEHOVEC 104;595;302;302;295;7;222;73
20;MEĐIMURSKA ŽUPANIJA;grad;PRELOG;003;ČUKOVEC;DOM KULTURE;ČUKOVEC 105;260;116;116;112;4;65;47
20;MEĐIMURSKA ŽUPANIJA;grad;PRELOG;004;DRAŠKOVEC;DOM KULTURE;BRAĆE RADIĆA 6;529;258;258;249;9;164;85
20;MEĐIMURSKA ŽUPANIJA;grad;PRELOG;005;HEMUŠEVEC;DOM KULTURE;TRG MALE GOSPE 5;207;104;104;101;3;68;33
20;MEĐIMURSKA ŽUPANIJA;grad;PRELOG;006;OPOROVEC;DOM KULTURE;OPOROVEC 160;344;174;174;169;5;136;33
20;MEĐIMURSKA ŽUPANIJA;grad;PRELOG;007;OTOK;DOM KULTURE;OTOK 80;261;123;123;122;1;99;23
20;MEĐIMURSKA ŽUPANIJA;grad;PRELOG;008;PRELOG;SREDNJA ŠKOLA;ČAKOVEČKA 1;680;349;349;340;9;207;133
20;MEĐIMURSKA ŽUPANIJA;grad;PRELOG;009;PRELOG;DOM KULTURE GRADA PRELOGA;TRG SLOBODE 1;642;340;340;329;11;220;109
20;MEĐIMURSKA ŽUPANIJA;grad;PRELOG;010;PRELOG;OSNOVNA ŠKOLA - UČIONICA MATEMATIKA 2;TRG BANA JELAČIĆA 2;624;260;260;257;3;165;92
20;MEĐIMURSKA ŽUPANIJA;grad;PRELOG;011;PRELOG;OSNOVNA ŠKOLA - UČIONICA RAZREDNA NASTAVA 2;TRG BANA JELAČIĆA 2;981;479;479;463;16;278;185
20;MEĐIMURSKA ŽUPANIJA;grad;PRELOG;012;PRELOG;OSNOVNA ŠKOLA - UČIONICA RAZREDNE NASTAVE 3;TRG BANA JELAČIĆA 2;735;382;382;372;10;250;122
