Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;GORAN GOTAL;DEJAN LEVAČIĆ;MARIO MEDVED;MATIJA POSAVEC
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;001;ČAKOVEC;"ZGRADA DJEČJEG VRTIĆA ""BAMBI""";ULICA BANA JOSIPA JELAČIĆA 25;1120;491;491;476;15;46;21;82;327
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;002;ČAKOVEC;I. OSNOVNA ŠKOLA;ULICA KRALJA TOMISLAVA 43;707;378;377;367;10;57;13;55;242
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;003;ČAKOVEC;ZGRADA GRADSKE UPRAVE;ULICA KRALJA TOMISLAVA 15;715;302;302;290;12;35;14;49;192
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;004;ČAKOVEC;ZGRADA MEĐIMURSKE ŽUPANIJE - RESTORAN;ULICA RUĐERA BOŠKOVIĆA 2;528;266;266;260;6;18;5;44;193
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;005;ČAKOVEC;ZGRADA DOMA AMATERA;ULICA STJEPANA RADIĆA 1;947;452;452;440;12;68;23;72;277
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;006;ČAKOVEC;DVORANA UDRUŽENJA OBRTNIKA MEĐIMURSKE ŽUPANIJE;PARK RUDOLFA KROPEKA 1;463;248;248;237;11;40;2;37;158
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;007;ČAKOVEC;"ZGRADA GIMNASTIČKOG DRUŠTVA  ""MARIJAN ZADRAVEC-MACAN""";TOME MASARYKA 24;579;279;279;274;5;35;13;36;190
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;008;ČAKOVEC;"ZGRADA DJEČJEG VRTIĆA ""VJEVERICA""";ULICA ZAVNOH-A 24A;721;390;390;385;5;65;8;59;253
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;009;ČAKOVEC;ZGRADA GIMNAZIJE - UČIONICA A;ULICA VLADIMIRA NAZORA 34;330;150;150;147;3;24;9;26;88
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;010;ČAKOVEC;ZGRADA III. OSNOVNE ŠKOLE;ULICA IVANA PL. ZAJCA 24;847;390;390;383;7;45;17;87;234
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;011;ČAKOVEC;ZGRADA GIMNAZIJE - UČIONICA B;ULICA VLADIMIRA NAZORA 34;621;274;274;270;4;23;4;69;174
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;012;ČAKOVEC;ZGRADA GRADITELJSKE ŠKOLE;ŠPORTSKA ULICA 1;745;384;384;375;9;35;24;68;248
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;013;ČAKOVEC;ZGRADA ŽELJEZNIČKOG KOLODVORA;KOLODVORSKA ULICA 2;914;447;447;438;9;61;16;68;293
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;014;ČAKOVEC;"ZGRADA DJEČJEG VRTIĆA - ""MASLAČAK"" MARTANE";ULICA JOSIPA BEDEKOVIĆA 22;627;315;314;296;18;33;16;58;189
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;015;ČAKOVEC;ZGRADA VATROGASNOG DOMA PUTJANE;ULICA PUTJANE 65;459;195;195;187;8;30;14;27;116
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;016;ČAKOVEC;"PROSTORIJA NK ""SLOGA""";ULICA MIHOVILA PAVLEKA MIŠKINE 2;1033;444;443;432;11;33;13;87;299
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;017;ČAKOVEC;ZGRADA II. OSNOVNE ŠKOLE - UČIONICA A;TRG PAPE IVANA PAVLA II. 1;687;327;327;318;9;54;10;58;196
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;018;ČAKOVEC;ZGRADA II. OSNOVNE ŠKOLE - UČIONICA B;TRG PAPE IVANA PAVLA II. 1;1185;604;604;581;23;105;30;118;328
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;019;IVANOVEC;ZGRADA DOMA KULTURE;ZAGREBAČKA 30;1030;368;368;366;2;45;11;69;241
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;020;IVANOVEC;ZGRADA VATROGASNOG DOMA GORNJI VIDOVEC - IVANOVEC;ULICA GORNJI VIDOVEC 10;730;292;292;286;6;23;8;50;205
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;021;MIHOVLJAN;ZGRADA DRUŠTVENOG  DOMA;PRVOMAJSKA ULICA 92;1237;623;623;613;10;63;15;79;456
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;022;NOVO SELO ROK;ZGRADA DRUŠTVENOG DOMA;MARŠALA TITA 49;1234;518;517;514;3;61;14;84;355
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;023;KRIŠTANOVEC;ZGRADA DRUŠTVENOG DOMA;KRIŠTANOVEC 122A;529;321;321;316;5;22;7;41;246
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;024;MAČKOVEC;ZGRADA DRUŠTVENOG DOMA;TRG SV. PETRA I PAVLA 2;1113;544;544;528;16;64;21;92;351
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;025;SLEMENICE;ZGRADA DRUŠTVENOG DOMA;SLEMENICE 10D;206;124;124;123;1;7;4;32;80
20;MEĐIMURSKA ŽUPANIJA;grad;ČAKOVEC;026;ŽIŠKOVEC;ZGRADA DRUŠTVENOG DOMA;ŽIŠKOVEC 3B;448;185;185;182;3;18;5;49;110
