Županija,HDZ,SDP,MOŽEMO!,Most,Domovinski pokret,Ostali
Zagrebačka županija,3829,1321,0,165,307,2916
Krapinsko-zagorska županija,2920,2803,0,0,181,3188
Sisačko-moslavačka županija,2174,875,0,482,365,1402
Karlovačka županija,1845,1031,45,241,100,1639
Varaždinska županija,3067,1665,0,24,137,3746
Koprivničko-križevačka županija,2234,1709,0,31,86,3306
Bjelovarsko-bilogorska županija,1896,425,0,11,278,2272
Primorsko-goranska županija,3974,3611,42,92,282,5104
Ličko-senjska županija,1915,257,0,414,54,2442
Virovitičko-podravska županija,2254,538,0,75,350,350
Požeško-slavonska županija,1202,322,0,190,194,353
Brodsko-posavska županija,3000,824,0,45,249,2989
Zadarska županija,7915,1446,0,1327,189,6703
Osječko-baranjska županija,5863,704,33,659,560,3967
Šibensko-kninska županija,1875,635,0,1038,26,2428
Vukovarsko-srijemska županija,4788,531,0,1072,699,6441
Splitsko-dalmatinska županija,7525,3080,44,632,874,9119
Istarska županija,1615,2403,100,0,20,9639
Dubrovačko-neretvanska županija,2712,1480,116,435,120,1307
Međimurska županija,2476,1969,0,54,160,3841
Grad Zagreb,103,39,207,13,49,106
