Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ALEN PRELEC;ILIJA TOKIĆ
01;ZAGREBAČKA ŽUPANIJA;općina;BRDOVEC;001;BRDOVEC;KINO-DVORANA BRDOVEC;BRDOVEC, TRG DR. FRANJE TUĐMANA 1;1306;433;433;419;14;180;239
01;ZAGREBAČKA ŽUPANIJA;općina;BRDOVEC;002;BRDOVEC;PREDVORJE KINO-DVORANE BRDOVEC;BRDOVEC, TRG DR. FRANJE TUĐMANA 1;1326;443;443;427;16;267;160
01;ZAGREBAČKA ŽUPANIJA;općina;BRDOVEC;003;JAVORJE;DRUŠTVENI DOM JAVORJE;JAVORJE, SAVSKA 5A;618;213;213;208;5;103;105
01;ZAGREBAČKA ŽUPANIJA;općina;BRDOVEC;004;PRIGORJE BRDOVEČKO;DRUŠTVENI DOM PRIGORJE BRDOVEČKO;PRIGORJE BRDOVEČKO, ŠKOLSKA 9;1259;388;388;377;11;239;138
01;ZAGREBAČKA ŽUPANIJA;općina;BRDOVEC;005;PRUDNICE;DRUŠTVENI DOM PRUDNICE;PRUDNICE, PRUDNIČKA CESTA 2;627;181;181;173;8;120;53
01;ZAGREBAČKA ŽUPANIJA;općina;BRDOVEC;006;ZDENCI BRDOVEČKI;DRUŠTVENI DOM ZDENCI BRDOVEČKI;ZDENCI BRDOVEČKI, ZDENAČKA 82;1087;377;377;367;10;248;119
01;ZAGREBAČKA ŽUPANIJA;općina;BRDOVEC;007;DRENJE BRDOVEČKO;DRUŠTVENI DOM DRENJE BRDOVEČKO;DRENJE BRDOVEČKO, VATROGASNA 1;553;231;231;227;4;141;86
01;ZAGREBAČKA ŽUPANIJA;općina;BRDOVEC;008;LADUČ;DRUŠTVENI DOM LADUČ;GORNJI LADUČ, ZAGREBAČKA 47;1501;441;441;432;9;249;183
01;ZAGREBAČKA ŽUPANIJA;općina;BRDOVEC;009;HARMICA;DRUŠTVENI DOM HARMICA;HARMICA, DUBRAVIČKA 6;220;102;102;100;2;75;25
01;ZAGREBAČKA ŽUPANIJA;općina;BRDOVEC;010;KLJUČ BRDOVEČKI;DRUŠTVENI DOM KLJUČ BRDOVEČKI;KLJUČ BRDOVEČKI, MOKRIČKA 47;495;166;166;163;3;105;58
01;ZAGREBAČKA ŽUPANIJA;općina;BRDOVEC;011;ŠENKOVEC;DRUŠTVENI DOM ŠENKOVEC;ŠENKOVEC, ZAGREBAČKA 44;614;174;174;169;5;119;50
01;ZAGREBAČKA ŽUPANIJA;općina;BRDOVEC;012;VUKOVO SELO;DRUŠTVENI DOM VUKOVO SELO;VUKOVO SELO, RIBIČKA 1;416;105;105;101;4;70;31
