Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ŽELJKO TURK;BARBARA KNEŽEVIĆ
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;001;HRUŠEVEC KUPLJENSKI;OSNOVNA ŠKOLA HRUŠEVEC KUPLJENSKI;HRUŠEVEC KUPLJENSKI, HRUŠEVEČKA CESTA 20;453;240;240;236;4;204;32
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;002;KUPLJENOVO;DRUŠTVENI DOM KUPLJENOVO;KUPLJENOVO, MATIJE GUPCA 57;638;330;330;321;9;228;93
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;003;POJATNO;VATROGASNI DOM POJATNO;POJATNO, MATIJE GUPCA 90;1005;496;496;490;6;338;152
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;004;ŠIBICE;DRUŠTVENI DOM ŠIBICE;ŠIBICE, ZAGREBAČKA 2;697;312;312;305;7;142;163
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;005;IVANEC BISTRANSKI;DRUŠTVENI DOM IVANEC;IVANEC BISTRANSKI, STUBIČKA 75;772;366;366;344;22;175;169
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;006;JABLANOVEC;PODRUČNA ŠKOLA JABLANOVEC;JABLANOVEC, STUBIČKA 198;1265;457;457;436;21;193;243
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;007;ZAPREŠIĆ;SREDNJA ŠKOLA BAN JOSIP JELAČIĆ;ZAPREŠIĆ, TRG DR. FRANJE TUĐMANA 1;1194;558;558;518;40;270;248
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;008;ZAPREŠIĆ;SREDNJA ŠKOLA BAN JOSIP JELAČIĆ;ZAPREŠIĆ, TRG DR. FRANJE TUĐMANA 1;1248;570;570;541;29;239;302
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;009;ZAPREŠIĆ;"OSNOVNA ŠKOLA ""LJUDEVITA GAJA""";ZAPREŠIĆ, LJUDEVITA GAJA 2;1053;457;456;426;30;238;188
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;010;ZAPREŠIĆ;"OSNOVNA ŠKOLA ""LJUDEVITA GAJA""";ZAPREŠIĆ, LJUDEVITA GAJA 2;1062;397;397;377;20;157;220
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;011;ZAPREŠIĆ;ZDRAVSTVENI CENTAR ZAPREŠIĆ SJEVER;ZAPREŠIĆ, MOKRIČKA 54;1048;411;411;390;21;183;207
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;012;ZAPREŠIĆ;ZDRAVSTVENI CENTAR ZAPREŠIĆ SJEVER;ZAPREŠIĆ, MOKRIČKA 54;956;352;352;338;14;166;172
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;013;ZAPREŠIĆ;ŠPORTSKO REKREACIJSKI CENTAR;ZAPREŠIĆ, VLADIMIRA NOVAKA 23;1170;498;498;461;37;250;211
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;014;ZAPREŠIĆ;POSLOVNI PROSTOR;"ZAPREŠIĆ, ANTE STARČEVIĆA 11 (""PAVUNA"" D.O.O.)";1054;413;413;390;23;207;183
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;015;ZAPREŠIĆ;KLUB UMIROVLJENIKA;ZAPREŠIĆ, ULICA PAVLA ŠTOOSA 2 (ULAZ SA ŠETNICE KARDINALA FRANJE KUHARIĆA);872;353;353;332;21;167;165
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;016;ZAPREŠIĆ;KLUB UMIROVLJENIKA;ZAPREŠIĆ, ULICA PAVLA ŠTOOSA 2 (ULAZ SA ŠETNICE KARDINALA FRANJE KUHARIĆA);978;387;387;368;19;186;182
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;017;ZAPREŠIĆ;"OSNOVNA ŠKOLA ""ANTUNA AUGUSTINČIĆA""";ZAPREŠIĆ, VLADIMIRA NAZORA 2 A;1174;531;531;506;25;270;236
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;018;ZAPREŠIĆ;UDRUGA UMIROVLJENIKA;ZAPREŠIĆ, TRG ŽRTAVA FAŠIZMA 8/I;832;314;314;297;17;152;145
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;019;ZAPREŠIĆ;DVORANA ZA JUDO;ZAPREŠIĆ, TRG ŽRTAVA FAŠIZMA 18;1195;483;481;457;24;236;221
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;020;ZAPREŠIĆ;UDRUŽENJE OBRTNIKA;ULICA KARDINALA ALOJZIJA STEPINCA 2;1226;552;552;520;32;246;274
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;021;ZAPREŠIĆ;POSLOVNI PROSTOR;ZAPREŠIĆ, JURE PETREKOVIĆA 10A;1169;525;525;503;22;255;248
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;022;ZAPREŠIĆ;GRADSKA UPRAVA;ZAPREŠIĆ, NOVA ULICA 10;1020;519;519;506;13;231;275
