Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;STJEPAN KOŽIĆ;MIHAEL ZMAJLOVIĆ
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;001;DUGO SELO - ZAPAD I;OSNOVNA ŠKOLA IVAN BENKOVIĆ;DUGO SELO, HRVATSKOG PREPORODA 68;806;289;289;277;12;170;107
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;002;DUGO SELO - ZAPAD II;ZGRADA GLAZBENE ŠKOLE;DUGO SELO, ZAGREBAČKA ULICA 24;685;243;243;231;12;168;63
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;003;DUGO SELO - ZAPAD III;ZGRADA GLAZBENE ŠKOLE;DUGO SELO, ZAGREBAČKA ULICA 24;788;307;307;293;14;154;139
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;004;DUGO SELO - ZAPAD IV;ZGRADA GLAZBENE ŠKOLE;DUGO SELO, ZAGREBAČKA ULICA 24;767;280;280;270;10;156;114
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;005;DUGO SELO - JUG I;OSNOVNA ŠKOLA IVAN BENKOVIĆ;DUGO SELO, HRVATSKOG PREPORODA 68;1006;301;300;289;11;183;106
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;006;DUGO SELO - JUG II;GRADSKA VIJEĆNICA GRADA DUGOG SELA;DUGO SELO, JOSIPA ZORIĆA 1;819;257;257;250;7;123;127
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;007;DUGO SELO - JUG III;OSNOVNA ŠKOLA IVAN BENKOVIĆ;DUGO SELO, HRVATSKOG PREPORODA 68;860;256;256;248;8;126;122
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;008;DUGO SELO - SJEVER I;ZGRADA PUČKOG OTVORENOG UČILIŠTA-PRIZEMLJE;DUGO SELO, JOSIPA ZORIĆA 21 A;677;259;259;245;14;138;107
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;009;DUGO SELO - SJEVER II;ZGRADA PUČKOG OTVORENOG UČILIŠTA-PRIZEMLJE;DUGO SELO, JOSIPA ZORIĆA 21 A;737;261;261;255;6;143;112
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;010;DUGO SELO - SJEVER III;SREDNJA ŠKOLA DUGO SELO;DUGO SELO, STJEPANA FERENČAKA 25;577;207;207;198;9;101;97
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;011;DUGO SELO - SJEVER IV;SREDNJA ŠKOLA DUGO SELO;DUGO SELO, STJEPANA FERENČAKA 25;522;202;202;194;8;107;87
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;012;DUGO SELO - ISTOK I;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;730;283;283;270;13;162;108
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;013;DUGO SELO - ISTOK II;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;592;183;183;171;12;116;55
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;014;DUGO SELO - ISTOK III;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;535;213;213;204;9;111;93
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;015;DUGO SELO - ISTOK IV;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;688;247;247;233;14;114;119
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;016;DUGO SELO - ISTOK V;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;687;249;249;243;6;151;92
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;017;DUGO SELO - ISTOK VI;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;583;159;159;145;14;86;59
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;018;LUKARIŠĆE;POSLOVNI PROSTOR VL. KARMEN PAVLIC;LUKARIŠĆE, BJELOVARSKA 17;977;366;366;352;14;242;110
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;019;KOZINŠČAK I;"UGOSTITELJSKI OBRT ""LIVNO"" VL. MLADENKA NUJIĆ";KOZINŠČAK, KOZINSKA 31;603;207;207;198;9;152;46
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;020;KOZINŠČAK II;OBITELJSKA KUĆA VL. DUŠAN ŽIVKOVIĆ;KOZINŠČAK, ULICA TOME KAPITANA 6;620;226;226;221;5;135;86
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;021;VELIKA OSTRNA I;VATROGASNI DOM VELIKA OSTRNA;VELIKA OSTRNA, OMLADINSKA BB;605;200;198;191;7;150;41
