Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;IVAN HANŽEK;PETAR VRANÈIÆ
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;001;ŠPIÈKOVINA;PODRUÈNA ŠKOLA ŠPIÈKOVINA;ŠPIÈKOVINA 16;635;214;214;214;0;139;75
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;002;DUBRAVA ZABOÈKA;DRUŠTVENI DOM KOD NOGOMETNOG IGRALIŠTA;DUBRAVA ZABOÈKA 3;530;214;214;208;6;132;76
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;003;GRDENCI;DRUŠTVENI DOM;GRDENCI 90;384;154;154;149;5;84;65
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;004;LUG ZABOÈKI;LUG ZABOÈKI 55O - KUÆICA NA DJEÈJEM IGRALIŠTU;LUG ZABOÈKI 55 O;890;413;413;407;6;222;185
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;005;ZABOK I;STARA ŠKOLA  (ZELENA DVORANA);TRG SV. JELENE 6;754;428;428;423;5;211;212
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;006;GRABROVEC;SPORTSKI DOM KOD IGRALIŠTA;ULICA GRABROVEC 12;494;213;213;210;3;113;97
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;007;ZABOK II;"PREDVORJE OŠ ""K.Š.GJALSKI""";ÐAÈKI PUT 1;639;296;296;288;8;179;109
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;008;ZABOK III;"PREDVORJE DVORANE HEP ODS D.O.O. ""ELEKTRA"" ZABOK";MATIJE GUPCA 57;812;433;433;408;25;217;191
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;009;ZABOK IV;DOM STRIJELACA;MATIJE GUPCA 112;293;144;144;141;3;72;69
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;010;REPOVEC;OMLADINSKI DOM;REPOVEC 45C;269;126;126;124;2;34;90
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;011;TISANIÆ JAREK;KUÆICA (KONTEJNER) NA DJEÈJEM IGRALIŠTU;TISANIÆ JAREK BB;347;143;143;143;0;46;97
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;012;JAKUŠEVEC ZABOÈKI;KUÆICA (KONTEJNER) NA DJEÈJEM IGRALIŠTU;JAKUŠEVEC ZABOÈKI BB;342;171;171;170;1;70;100
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;013;PAVLOVEC ZABOÈKI;DRUŠTVENI DOM;PAVLOVEC ZABOÈKI 48;518;247;247;243;4;109;134
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;014;MARTINIŠÆE;VATROGASNI DOM DVD GUBAŠEVO;MARTINIŠÆE 5;473;216;216;211;5;93;118
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;015;PROSENIK GUBAŠEVSKI;DRUŠTVENI DOM;PROSENIK GUBAŠEVSKI 25A;135;56;56;56;0;18;38
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;016;PROSENIK ZAÈRETSKI;DRUŠTVENI DOM;PROSENIK ZAÈERTSKI 69A;115;48;48;46;2;15;31
