Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MAGDALENA KOMES;DARINKO DUMBOVIĆ
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;001;PETRINJA;GRADSKA UPRAVA (BIVŠA KOTVA - U DVORIŠTU);ULICA BRAĆE HANŽEK 19;449;272;272;259;13;167;92
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;002;PETRINJA;GRADSKA UPRAVA (BIVŠA KOTVA - U DVORIŠTU);ULICA BRAĆE HANŽEK 19;540;297;297;284;13;191;93
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;003;PETRINJA;RUKOMETNO IGRALIŠTE;ULICA ANTUNA MATIJE RELJKOVIĆA BB (ŠATOR);874;495;495;476;19;384;92
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;004;PETRINJA;HRVAČKA DVORANA;TRG NARODNIH UČITELJA 7/A;871;462;462;441;21;300;141
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;005;PETRINJA;DJEČJI VRTIĆ, PETRINJA;ULICA MILANA DUJNIĆA 25;766;368;368;351;17;259;92
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;006;PETRINJA;DJEČJI VRTIĆ NA SAJMIŠTU, PETRINJA;ULICA DRAŽENA PETROVIĆA 18/3;650;331;331;323;8;242;81
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;007;PETRINJA;DJEČJI VRTIĆ NA SAJMIŠTU, PETRINJA;ULICA DRAŽENA PETROVIĆA 18/3;964;526;526;489;37;341;148
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;008;PETRINJA;KONTEJNERSKO NASELJE NA SAJMIŠTU;SAJMIŠTE BB (ŠATOR);868;76;76;74;2;59;15
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;009;PETRINJA;DOM ZDRAVLJA PETRINJA;R. LOPAŠIĆA BB;633;320;320;313;7;236;77
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;010;PETRINJA;DJEČJI VRTIĆ, PETRINJA;ULICA MILANA DUJNIĆA 25;863;319;319;306;13;230;76
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;011;PETRINJA;"OŠ ""MATO LOVRAK""";M. ANTOLIĆA 18;965;400;400;387;13;281;106
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;012;PETRINJA;"OŠ ""MATO LOVRAK""";M. ANTOLIĆA 18;966;436;436;416;20;220;196
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;013;PETRINJA;VATROGASNI DOM PETRINJA;VATROGASNA 57;933;378;374;363;11;261;102
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;014;PETRINJA;VATROGASNI DOM PETRINJA;VATROGASNA 57;879;402;402;382;20;262;120
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;015;PETRINJA;PODRUČNA ŠKOLA MATE LOVRAKA;ČEŠKO SELO, SISAČKA BB;1097;437;437;415;22;262;153
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;016;NOVA DRENČINA;HRVATSKI DOM NOVA DRENČINA;NOVA DRENČINA;321;181;181;174;7;138;36
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;PETRINJA;017;BREST POKUPSKI;HRVATSKI DOM BREST POKUPSKI;BREST POKUPSKI;266;165;165;159;6;108;51
