Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KRISTINA IKIĆ BANIČEK;ŽELJKA JOSIĆ
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;001;SISAK;PROSTORIJE GRADSKE ČETVRTI CENTAR;IVANA MEŠTROVIĆA 32;895;453;453;430;23;245;185
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;002;SISAK;PROSTORIJE DRUŠTVA GLUHIH I NAGLUHIH GRADA SISKA;TRG 22. LIPNJA 4B;499;261;261;253;8;154;99
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;003;SISAK;OSNOVNA ŠKOLA 22. LIPNJA;FRANJE LOVRIĆA 27 (UMJESTO U ZGRADI SISAČKO-MOSLAVAČKE ŽUPANIJE, S. I A. RADIĆA 36);481;235;235;226;9;118;108
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;004;SISAK;OSNOVNA ŠKOLA 22. LIPNJA;FRANJE LOVRIĆA 27 (UMJESTO U ZGRADI SISAČKO-MOSLAVAČKE ŽUPANIJE, S. I A. RADIĆA 36);439;230;230;224;6;113;111
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;005;SISAK;NARODNA KNJIŽNICA I ČITAONICA VLADO GOTOVAC SISAK;RIMSKA 27;533;279;279;269;10;112;157
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;006;SISAK;PROSTORIJE GRADSKOG DRUŠTVA CRVENOG KRIŽA SISAK;ULICA KRALJA TOMISLAVA 18;639;376;376;364;12;159;205
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;007;SISAK;PROSTORIJE ZAVODA ZA ZAPOŠLJAVANJE;UL. KRALJA TOMISLAVA 13;538;294;294;278;16;158;120
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;008;SISAK;PROSTORIJE GRADSKE ČETVRTI ZELENI BRIJEG;FRANA KRŠINIĆA 19;551;263;263;256;7;148;108
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;009;SISAK;DJEČJI VRTIĆ PČELICA;ULICA ANTUNA CUVAJA 3;910;409;409;395;14;218;177
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;010;SISAK;PROSTORIJE BIVŠE POSLOVNICE ALIANZ OSIGURANJE;MARIJANA CELJAKA 79;1217;552;552;544;8;237;307
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;011;SISAK;OSNOVNA ŠKOLA BRAĆA RIBAR SISAK;ZAGREBAČKA 8A;535;286;286;275;11;152;123
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;012;SISAK;OSNOVNA ŠKOLA BRAĆA RIBAR SISAK;ZAGREBAČKA 8A;749;321;321;312;9;169;143
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;013;SISAK;PROSTORIJE GRADSKE ČETVRTI ZELENI BRIJEG;FRANA KRŠINIĆA 19;630;277;277;274;3;153;121
