Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;MARTINA FURDEK-HAJDIN;STJEPAN MIKULANDRIÆ
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;001;BIRAÈKO MJESTO BR. 1;OŠ VLADIMIR NAZOR;JOZEFINSKA CESTA 85;780;159;159;153;6;93;60
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;002;BIRAÈKO MJESTO BR. 2;DJEÈJI VRTIÆ;TRG HRVATSKIH MUÈENIKA BB;673;143;143;140;3;66;74
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;003;BIRAÈKO MJESTO BR. 3;"PROSTORIJE SPORTSKOG DRUŠTVA ""MLADOST"" NA NOGOMETNOM IGRALIŠTU U DONJEM MRZLOM POLJU";DONJE MRZLO POLJE BB;422;89;89;87;2;59;28
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;004;BIRAÈKO MJESTO BR. 4;UDRUŽENJE UMIROVLJENIKA;JOSEFA JERUZALEMA 2;580;103;103;102;1;67;35
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;005;BIRAÈKO MJESTO BR. 5;DOM SPORTOVA;BANA JOSIPA JELAÈIÆA 41;403;85;85;83;2;46;37
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;006;BIRAÈKO MJESTO BR. 6;OŠ IVAN GORAN KOVAÈIÆ;BANA JOSIPA JELAÈIÆA 8;586;142;142;141;1;75;66
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;007;BIRAÈKO MJESTO BR. 7;PEKARA MUS;TRG KRALJA TOMISLAVA 1;465;113;113;108;5;61;47
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;008;BIRAÈKO MJESTO BR. 8;KUÆA GAJSKI IVANA;NIKOLE TESLE 4;311;93;93;89;4;46;43
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;009;BIRAÈKO MJESTO BR. 9;PROSTORIJE MO TREŠNJEVKA;TRG HRVATSKIH MUÈENIKA 17;485;110;110;106;4;55;51
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;010;BIRAÈKO MJESTO BR. 10;VATROGASNI DOM STARA SELA;FRANKOPANSKA BB;613;150;150;148;2;90;58
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;011;BIRAÈKO MJESTO BR. 11;KUÆA PROTULIPAC VIDE;PETRAKOVO BRDO 22B;118;44;44;44;0;26;18
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;012;BIRAÈKO MJESTO BR. 12;PROSTORIJE SPORTSKOG DRUŠTVA BRODAC;GORNJE MRZLO POLJE MREŽNIÈKO 101 C;532;107;107;102;5;66;36
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;013;BIRAÈKO MJESTO BR. 13;PROSTORIJE MO VAROŠ;RADIÆEVA ULICA BB;797;149;149;146;3;86;60
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;014;BIRAÈKO MJESTO BR. 14;PROSTORIJE MO BELAJSKA VINICA;BELAJSKA VINICA BB;232;51;51;50;1;41;9
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;015;BIRAÈKO MJESTO BR. 15;PROSTORIJE BIVŠE EKONOMIJE;MREŽNIÈKI BRIG 51;283;40;40;40;0;25;15
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;016;BIRAÈKO MJESTO BR. 16;MONTAŽNI OBJEKT PORED KUÆE MIJE MIHALIÆA;MIHALIÆ SELO 15;111;27;27;26;1;25;1
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;017;BIRAÈKO MJESTO BR. 17;PROSTOR MO SVETA JELENA;MREŽNIÈKI NOVAKI BB;147;52;52;52;0;37;15
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;018;BIRAÈKO MJESTO BR. 18;PROSTORIJE PODRUÈNE ŠKOLE BELAVIÆI;BELAVIÆI;476;97;97;94;3;66;28
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;019;BIRAÈKO MJESTO BR. 19;DRUŠTVENI DOM DVORJANCI;DVORJANCI BB;173;49;49;49;0;26;23
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;020;BIRAÈKO MJESTO BR. 20;PODRUÈNA ŠKOLA ZVEÈAJ;ZVEÈAJ 78;249;56;56;55;1;40;15
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;021;BIRAÈKO MJESTO BR. 21;ŠKOLA DONJI ZVEÈAJ;DONJI ZVEÈAJ 8;144;54;54;54;0;32;22
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;022;BIRAÈKO MJESTO BR. 22;KUÆA MALOVIÆ IVICE;MREŽNIÈKI VENAC 17;113;37;37;36;1;26;10
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;023;BIRAÈKO MJESTO BR. 23;KUÆA MIJE KAPELIÆA;GRŠÆAKI 1;64;13;13;13;0;7;6
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;024;BIRAÈKO MJESTO BR. 24;"KLUB ŠPORTSKIH RIBOLOVACA ""MREŽNICA""";SVETI PETAR MREŽNIÈKI 28A;328;62;62;59;3;42;17
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;025;BIRAÈKO MJESTO BR. 25;PROSTORIJE MO LIŠNICA;LIŠNICA BB;149;42;42;41;1;30;11
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;001;BIRAÈKO MJESTO BR. 1;MV TREND D.O.O. (NOVA TRŽNICA);TRG HRVATSKIH BRANITELJA 4;548;233;233;226;7;111;115
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;002;BIRAÈKO MJESTO BR. 2;"GRADSKA KNJIŽNICA ""I.G.KOVAÈIÆ""";LJ. ŠESTIÆA 1;1466;642;642;621;21;270;351
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;003;BIRAÈKO MJESTO BR. 3;MV TREND D.O.O. (NOVA TRŽNICA);TRG HRVATSKIH BRANITELJA 4;585;257;257;249;8;108;141
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;004;BIRAÈKO MJESTO BR. 4;VELEUÈILIŠTE KARLOVAC;MEŠTROVIÆEVA 10;743;276;276;266;10;125;141
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;005;BIRAÈKO MJESTO BR. 5;VELEUÈILIŠTE KARLOVAC;MEŠTROVIÆEVA 10;1526;685;685;664;21;322;342
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;006;BIRAÈKO MJESTO BR. 6;OSNOVNA ŠKOLA GRABRIK;BARTOLA KAŠIÆA 15;1209;515;515;497;18;223;274
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;007;BIRAÈKO MJESTO BR. 7;OSNOVNA ŠKOLA GRABRIK;BARTOLA KAŠIÆA 15;1138;455;455;436;19;217;219
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;008;BIRAÈKO MJESTO BR. 8;OSNOVNA ŠKOLA GRABRIK;BARTOLA KAŠIÆA 15;1376;555;554;538;16;301;237
04;KARLOVAÈKA ŽUPANIJA;grad;KARLOVAC;009;BIRAÈKO MJESTO BR. 9;GRADSKA ÈETVRT ZVIJEZDA;BANJAVÈIÆEVA 8 (ÈITAONICA);396;170;170;165;5;96;69
