Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;MARIJAN ŠKVARIÆ;ROBERT DUKARIÆ
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;001;LEPOGLAVA - 1;"UGOSTITELJSKI OBJEKT CAFFE BAR ""CIGLA""";ULICA HRVATSKIH PAVLINA 101;628;278;278;261;17;168;93
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;002;LEPOGLAVA - 2;"BIVŠA TRGOVINA ""RENOVA"" VL. TOME KOSTANJEVCA";ULICA HRVATSKIH PAVLINA 52;400;158;158;147;11;104;43
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;003;LEPOGLAVA - 3;"OSNOVNA ŠKOLA ""ANTE STARÈEVIÆ""";LEPOGLAVA;801;363;363;336;27;251;85
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;004;LEPOGLAVA - 4;VATROGASNI DOM;LEPOGLAVA;319;120;120;115;5;72;43
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;005;OÈURA;DRUŠTVENI DOM;OÈURA;397;162;162;154;8;127;27
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;006;PURGA;"UGOSTITELJSKI OBJEKT ""SPORT""";IVANA MAŽURANIÆA 2A;480;204;204;195;9;132;63
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;007;KAMENIÈKI VRHOVEC;"BIVŠI UGOST. OBJEKT ""ZELENA DOLINA""";KAMENIÈKI VRHOVEC;162;68;68;62;6;51;11
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;008;KAMENICA;"OSNOVNA ŠKOLA ""IVAN RANGER""";KAMENICA;120;65;65;64;1;59;5
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;009;CRKOVEC;KUÆA TOME ERDEC;CRKOVEC 16;135;63;63;60;3;34;26
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;010;VILETINEC;"BIVŠI UGOST. OBJEKT ""VIKTORIJA""";VILETINEC;135;45;45;42;3;31;11
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;011;VULIŠINEC;KUÆA MILICE KELEMENIÆ;VULIŠINEC 2;193;79;79;74;5;53;21
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;012;KAMENIÈKO PODGORJE - 1;PROSTORIJE NOVOG DRUŠTVENOG DOMA;KAMENIÈKO PODGORJE BB;201;99;99;99;0;51;48
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;013;KAMENIÈKO PODGORJE - 2;KUÆA KRISTIJANA GALIÆ;ŽAROVNICA 215;132;36;36;34;2;21;13
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;014;DONJA VIŠNJICA;"OSNOVNA ŠKOLA ""IZIDOR POLJAK""";VIŠNJICA;426;226;226;223;3;67;156
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;015;BEDNJICA;DRUŠTVENI DOM BEDNJICA;BEDNJICA;222;150;150;143;7;6;137
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;016;GORNJA VIŠNJICA;VATROGASNI DOM DONJA VIŠNJICA;GORNJA VIŠNJICA;373;168;168;162;6;27;135
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;017;ZLOGONJE;KUÆA ÈELIG JOSIPA;ZLOGONJE 140;357;155;155;151;4;18;133
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;018;ŽAROVNICA;PODRUÈNA ŠKOLA ŽAROVNICA;ŽAROVNICA;601;305;305;296;9;184;112
