Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MARIO KLAPŠA;RENATO PODBOJEC
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;001;DONJE LADANJE;DRUŠTVENI DOM;DONJE LADANJE;905;376;376;364;12;200;164
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;002;ČALINEC;DOM KULTURE;ČALINEC;313;133;133;130;3;70;60
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;003;CERJE NEBOJSE;DRUŠTVENI DOM;CERJE NEBOJSE;356;181;181;179;2;167;12
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;004;MARUŠEVEC - 1;DRUŠTVENI DOM;MARUŠEVEC;373;171;171;163;8;101;62
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;005;ČALINEC;"OSNOVNA ŠKOLA ""GUSTAV KRKLEC""";ČALINEC;485;258;258;253;5;99;154
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;006;MARUŠEVEC - 2;ZDRAVSTVENA AMBULANTA;MARUŠEVEC;274;134;134;132;2;87;45
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;007;GREDA;DRUŠTVENI DOM;GREDA;428;188;188;180;8;114;66
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;008;JURKETINEC;DRUŠTVENI DOM;JURKETINEC;351;194;194;187;7;103;84
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;009;BIKOVEC;DRUŠTVENI DOM;BIKOVEC;186;88;88;78;10;46;32
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;010;NOVAKI;DRUŠTVENI DOM;NOVAKI;440;168;167;159;8;122;37
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;011;DRUŠKOVEC - 1;DRUŠTVENI DOM;DRUŠKOVEC;297;96;96;95;1;61;34
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;012;DRUŠKOVEC - 2;PODRUČNA ŠKOLA;DRUŠKOVEC;186;76;76;71;5;58;13
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;013;BRODAROVEC;KUĆA ŽELJKA IVANČEVIĆA;BRODAROVEC 14;167;57;57;51;6;36;15
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;014;KORENJAK;KUĆA SUZANE PIŽETA;KORENJAK 34;66;38;38;38;0;16;22
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;015;SELNIK;KUĆA ANDRIJE KORPARA;SELNIK 127;318;142;142;136;6;71;65
