Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DRAGICA RATKOVIĆ;ŽELJKO BEDEKOVIĆ
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;001;VARAŽDINSKE TOPLICE;GRADSKA VIJEĆNICA;ULICA DR. FRANJE TUĐMANA 4 (RANIJA ADRESA: UL. MARŠALA TITA 4);355;215;215;209;6;142;67
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;002;VARAŽDINSKE TOPLICE;OSNOVNA ŠKOLA;ULICA GRADA VUKOVARA 1 (RANIJA ADRESA: UL. MARTINA PUŠTEKA);489;289;289;282;7;184;98
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;003;VARAŽDINSKE TOPLICE;SENZOMOTORNA DVORANA UZ DJEČJI VRTIĆ;ULICA BRAĆE RADIĆ 12;662;386;386;373;13;233;140
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;004;VRTLINOVEC;VATROGASNI DOM;VRTLINOVEC;338;162;162;160;2;73;87
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;005;ŠKARNIK;KUĆA IVICE RATKOVIĆA;ŠKARNIK 14;72;45;45;39;6;21;18
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;006;PIŠĆANOVEC;KUĆA RADOVANA KANEŠIĆA;PIŠĆANOVEC 16;52;32;32;32;0;12;20
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;007;MARTINKOVEC;KUĆA NIKOLE FOŠNJARA;MARTINKOVEC 1;86;47;47;47;0;27;20
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;008;JARKI HORVATIĆEVI;KUĆA ANTONIJE VUDRAG;JARKI HORVATIĆEVI 19;47;18;18;18;0;16;2
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;009;JALŠEVEC SVIBOVEČKI;VATROGASNI DOM;JALŠEVEC SVIBOVEČKI;247;164;164;160;4;61;99
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;010;SVIBOVEC;VATROGASNI DOM;SVIBOVEC;229;139;139;139;0;83;56
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;011;LESKOVEC TOPLIČKI;VATROGASNI DOM;LESKOVEC TOPLIČKI;397;270;270;265;5;155;110
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;012;DRENOVEC;VATROGASNI DOM;DRENOVEC;289;159;159;156;3;105;51
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;013;GORNJA POLJANA;VATROGASNI DOM;GORNJA POLJANA;209;145;145;143;2;46;97
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;014;DONJA POLJANA;VATROGASNI DOM;DONJA POLJANA;338;248;248;248;0;72;176
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;015;GREŠĆEVINA;VATROGASNI DOM;GREŠĆEVINA;146;97;97;96;1;59;37
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;016;TUHOVEC;DRUŠTVENI DOM;TUHOVEC;618;393;393;389;4;251;138
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;017;PETKOVEC TOPLIČKI;PODRUČNA ŠKOLA;PETKOVEC TOPLIČKI;208;142;142;138;4;69;69
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;018;ČRNILE;DRUŠTVENI DOM;ČRNILE;129;73;73;70;3;25;45
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;019;HRASTOVEC TOPLIČKI;KUĆA ROBERTA MRVČIĆA;HRASTOVEC TOPLIČKI 2A;189;138;138;135;3;79;56
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;020;ČURILOVEC;KUĆA STJEPANA DVEKARA;ČURILOVEC 22;109;66;66;65;1;51;14
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;021;LOVRENTOVEC;DRUŠTVENI DOM;LOVRENTOVEC;90;55;55;54;1;24;30
