Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ANĐELKO KOLIĆ;TUNA IVIĆ
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ĐULOVAC;001;BATINJANI;DOM U BATINJANIMA;BATINJANI 70;227;101;101;100;1;49;51
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ĐULOVAC;002;VUKOVJE;DOM U VUKOVJU;VUKOVJE 33;131;83;83;77;6;27;50
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ĐULOVAC;003;BOROVA KOSA;DOM U BOROVOJ KOSI;BOROVA KOSA 41;55;41;41;41;0;32;9
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ĐULOVAC;004;MASLENJAČA;DOM U MALOJ MASLENJAČI;MALA MASLENJAČA 2D;222;143;143;134;9;66;68
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ĐULOVAC;005;VELIKI BASTAJI;OSNOVNA ŠKOLA U VELIKIM BASTAJIMA;VELIKI BASTAJI 82;506;437;437;432;5;218;214
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ĐULOVAC;006;VELIKI MILETINAC;DOM U VELIKOM MILETINCU;VELIKI MILETINAC 38;58;53;53;53;0;28;25
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ĐULOVAC;007;ĐULOVAC;HRVATSKI DOM U ĐULOVCU- LIJEVO;FRANKOPANSKA 2;690;528;528;513;15;290;223
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ĐULOVAC;008;ĐULOVAC;HRVATSKI DOM U ĐULOVCU-DESNO;FRANKOPANSKA 2;350;228;228;224;4;169;55
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ĐULOVAC;009;MALA BABINA GORA;DOM U MALOJ BABINOJ GORI;MALA BABINA GORA 16;73;51;51;51;0;33;18
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ĐULOVAC;010;KORENIČANI;DOM U KORENIČANIMA;KORENIČANI BB;178;147;147;144;3;84;60
