Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DAMIR BAJS;MARKO MARUŠIĆ
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;001;BJELOVAR;GIMNAZIJA;MATICE HRVATSKE 17;683;250;250;242;8;114;128
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;002;BJELOVAR;II. OSNOVNA ŠKOLA;I. V. TRNSKOG 19;502;181;181;178;3;105;73
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;003;BJELOVAR;VELEUČILIŠTE U BJELOVARU I;TRG EUGENA KVATERNIKA 4;521;185;185;183;2;83;100
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;004;BJELOVAR;II O.Š. PODRUČNA ŠKOLA CENTAR;PETRA ZRINSKOG 4;453;156;156;152;4;81;71
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;005;BJELOVAR;VELEUČILIŠTE U BJELOVARU II;A. B. ŠIMIĆA 1;366;143;143;139;4;73;66
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;006;BJELOVAR;"NARODNA KNJIŽNICA ""PETAR PRERADOVIĆ"" DJEČJI ODJEL";ŠETALIŠTE DR. IVŠE LEBOVIĆA 9;662;279;279;273;6;129;144
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;007;BJELOVAR;"NARODNA KNJIŽNICA ""PETAR PRERADOVIĆ""";TRG E. KVATERNIKA 11;375;131;131;128;3;59;69
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;008;BJELOVAR;I. OSNOVNA ŠKOLA;ŽELJKA SABOLA 14;1046;333;333;329;4;163;166
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;009;BJELOVAR;MO DR. A. STARČEVIĆA;A. STEPINCA 20A;1272;447;447;440;7;206;234
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;010;BJELOVAR;DJEČJI VRTIĆ;ULICA ALOJZIJA STEPINCA 36;597;253;253;251;2;129;122
