Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ZLATKO KOMADINA;GARI CAPPELLI
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;001;BAKAR;"PROSTORIJE DOMA KULTURE ""MATIJA MAŽIĆ""";PALADA BB;1249;240;240;233;7;114;119
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;002;KRASICA;PROSTORIJE MJESNOG ODBORA KRASICA;KRASICA 230A;1217;232;232;225;7;125;100
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;003;ŠKRLJEVO;PROSTORIJE DOMA KULTURE ŠKRLJEVO;ŠKRLJEVO 191;1106;258;258;256;2;127;129
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;004;KUKULJANOVO;PROSTORIJE DOMA KULTURE KUKULJANOVO;KUKULJANOVO 205B;855;215;215;212;3;108;104
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;005;HRELJIN;PROSTORIJE DOMA KULTURE HRELJIN;HRELJIN 119;1262;300;300;291;9;143;148
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;006;HRELJIN;"PROSTORIJE NK ""NAPRIJED""";HRELJIN, MEJA GAJ BB;631;135;135;133;2;72;61
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;007;ZLOBIN;PROSTORIJE DOMA KULTURE ZLOBIN;ZLOBIN 157;260;104;104;102;2;45;57
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;008;PRAPUTNJAK;PROSTORIJE PODRUČNE ŠKOLE PRAPUTNJAK;PRAPUTNJAK 101;480;160;160;153;7;68;85
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;001;CRES;GRADSKA VIJEĆNICA CRES;CRES, CRESKOG STATUTA 15;522;300;300;288;12;196;92
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;002;CRES;"GRADSKA KNJIŽNICA I ČITAONICA ""FRANE PETRIĆA""";CRES, TRG SV. FRANE 8;497;320;320;309;11;186;123
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;003;CRES;OSNOVNA ŠKOLA FRANE PETRIĆA;CRES, ŠETALIŠTE 20. TRAVNJA 56;489;284;284;275;9;169;106
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;004;CRES;DOM ZA ODGOJ DJECE;CRES, JADRANSKA OBALA 15;608;400;400;391;9;258;133
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;005;BELI;PROSTOR MJESNOG ODBORA BELI;BELI;177;78;78;77;1;41;36
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;006;ORLEC;ORLEC;ORLEC 3;102;65;65;62;3;42;20
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;007;VALUN;TURIST BIRO;VALUN;83;48;48;48;0;27;21
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;008;MARTINŠĆICA;PROSTOR MJESNOG ODBORA;MARTINŠĆICA;247;126;126;122;4;74;48
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;001;CRIKVENICA;"""THALASSOTHERAPIA""";CRIKVENICA, GAJEVO ŠETALIŠTE 21;752;321;321;314;7;194;120
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;002;CRIKVENICA;ZGRADA GRADA CRIKVENICE;CRIKVENICA, KRALJA TOMISLAVA 85;1139;468;468;452;16;276;176
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;003;CRIKVENICA;"OSNOVNA ŠKOLA ""V.NAZORA""";CRIKVENICA,VINODOLSKA 12;1023;441;441;421;20;206;215
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;004;CRIKVENICA;ZGRADA GRADSKE VIJEĆNICE (STARA ŠKOLA);CRIKVENICA, VINODOLSKA 1;831;345;345;334;11;186;148
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;005;CRIKVENICA;"SREDNJA ŠKOLA ""DR. A. BARCA""";CRIKVENICA, ZIDARSKA 4;1611;690;690;664;26;346;318
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;006;CRIKVENICA;"SREDNJA ŠKOLA ""DR. A. BARCA""";CRIKVENICA, ZIDARSKA 4;1628;658;655;631;24;369;262
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;007;DRAMALJ;"""ZADRUŽNI DOM""";DRAMALJ, DRAMALJSKO SELCE 30;1777;622;621;614;7;386;228
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;008;JADRANOVO;DOM KULTURE JADRANOVO;JADRANOVO, IVANA GORANA KOVAČIĆA 1;1336;455;455;438;17;224;214
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;009;SELCE;PODRUČNA ŠKOLA SELCE;SELCE, ANDRIJE ANTIĆA 33;1577;617;616;601;15;339;262
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;ČABAR;001;BIRAČKO MJESTO BR. 1 U ČABRU;VIJEĆNICA GRADA ČABRA U ČABRU;NARODNOG OSLOBOĐENJA 2, ČABAR;624;350;350;340;10;220;120
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;ČABAR;002;BIRAČKO MJESTO BR. 2 U PREZIDU;ZGRADA OSNOVNE ŠKOLE U PREZIDU;GORANSKA 103, PREZID;742;414;414;398;16;266;132
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;ČABAR;003;BIRAČKO MJESTO BR. 3 U TRŠĆU;ZGRADA DRUŠTVENOG DOMA U TRŠĆU;ŠKOLSKA 1, TRŠĆE;782;493;493;474;19;290;184
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;ČABAR;004;BIRAČKO MJESTO BR. 4 U GEROVU;ZGRADA OSNOVNE ŠKOLE U GEROVU;ZAGREBAČKA 2, GEROVO;907;518;518;503;15;324;179
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;ČABAR;005;BIRAČKO MJESTO BR. 5 U PLEŠCIMA;ZGRADA DRUŠTVENOG DOMA U PLEŠCIMA;ANTUNA MUHVIĆA 1, PLEŠCE;270;171;171;166;5;113;53
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;001;BIRAČKO MJESTO BR. 1;"ZGRADA PODRUČNE OŠ ""I.G. KOVAČIĆA"" CRNI LUG";CRNI LUG, I.G. KOVAČIĆA 2;320;149;149;149;0;96;53
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;002;BIRAČKO MJESTO BR. 2;ZGRADA MGP LUČICE;LUČICE, LUČIĆKA CESTA 1;291;71;71;70;1;50;20
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;003;BIRAČKO MJESTO BR. 3;ZGRADA RADNIČKOG DOMA DELNICE;DELNICE, ŠKOLSKA 24;1126;522;522;508;14;306;202
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;004;BIRAČKO MJESTO BR. 4;ZGRADA SUDA DELNICE;DELNICE, TINA UJEVIĆA 1;1229;494;494;476;18;322;154
