Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DARKO MILINOVIĆ;ERNEST PETRY
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;001;GOSPIĆ;PUČKO OTVORENO UČILIŠTE DR ANTE STARČEVIĆA;ULICA DR. FRANJE TUĐMANA BR. 5, GOSPIĆ;952;637;637;617;20;252;365
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;002;GOSPIĆ;ZGRADA HRVATSKE POŠTE U GOSPIĆU;KANIŠKA ULICA BR. 53, GOSPIĆ;951;679;679;642;37;302;340
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;003;GOSPIĆ;ZGRADA DOMA ZDRAVLJA U GOSPIĆU;ULICA 118. BRIGADE HRVATSKE VOJSKE 3, GOSPIĆ;1378;784;784;747;37;286;461
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;004;GOSPIĆ;ZGRADA GIMNAZIJE U GOSPIĆU;BUDAČKA ULICA BR. 24, GOSPIĆ;798;549;549;530;19;162;368
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;005;GOSPIĆ;"ZGRADA ""USLUGE"" D.O.O. U GOSPIĆU";BUŽIMSKA ULICA 10;1508;1044;1044;992;52;319;673
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;006;GOSPIĆ;ČITAONICA KANIŽA;KANIŽA GOSPIĆKA;375;252;252;238;14;113;125
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;007;GOSPIĆ;ČITAONICA ŽABICA;ŽABICA, GOSPIĆ;163;111;111;107;4;48;59
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;008;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE LIČKI NOVI;LIČKI NOVI;242;130;130;126;4;55;71
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;009;GOSPIĆ;ZGRADA HRVATSKIH CESTA U PODOŠTRI;PODOŠTRA;157;108;108;99;9;34;65
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;010;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE BILAJ;BILAJ;273;204;204;194;10;99;95
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;011;GOSPIĆ;OBITELJSKA KUĆA MILANA GENDE RIBNIK;RIBNIK 31/1;78;50;50;49;1;26;23
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;012;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE TRNOVAC;TRNOVAC;151;94;94;90;4;52;38
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;013;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE BRUŠANE;BRUŠANE;133;77;77;75;2;35;40
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;014;GOSPIĆ;ČITAONICA BUDAK;BUDAK;118;81;81;79;2;39;40
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;015;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE MUŠALUK;MUŠALUK;168;97;97;95;2;36;59
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;016;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE LIČKI OSIK;LIČKI OSIK (NASELJE);1419;749;748;715;33;334;381
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;017;GOSPIĆ;KUĆA DRAGANA ŠOPA, LIČKI OSIK (STARI) BR 64;LIČKI OSIK (STARI);187;100;100;93;7;35;58
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;018;GOSPIĆ;ZGRADA DRUŠTVENOG DOMA  VREBAC;VREBAC;103;45;45;41;4;29;12
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;019;GOSPIĆ;MJESNI ODBOR MOGORIĆ;MOGORIĆ;94;41;41;41;0;25;16
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;020;GOSPIĆ;MJESNI ODBOR MEDAK;MEDAK;123;44;44;42;2;20;22
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;021;GOSPIĆ;ZGRADA HRVATSKOG NARODNOG DOMA SMILJAN;SMILJAN;497;329;329;311;18;112;199
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;022;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE DEBELO BRDO;DEBELO BRDO;63;44;44;40;4;14;26
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;023;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE  BUŽIM;BUŽIM;86;57;57;52;5;27;25
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;024;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE VELIKI ŽITNIK;VELIKI ŽITNIK;44;24;24;22;2;8;14
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;025;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE KLANAC;KLANAC;192;112;112;104;8;35;69
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;026;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE ALEKSINICA;ALEKSINICA;123;80;80;75;5;33;42
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;027;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE KALINOVAČA;KALINOVAČA;108;63;63;63;0;14;49
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;028;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE NOVOSELIJA;NOVOSELIJA;202;134;134;127;7;38;89
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;029;GOSPIĆ;KUĆA MARIA JOVANOVIĆA;MALA PLANA 35 A;73;44;44;42;2;16;26
