Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ANTUN PAVETIĆ;JELENA IVEZIĆ
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;ORIOVAC;001;RADOVANJE;DRUŠTVENI DOM RADOVANJE;RADOVANJE  BB;237;144;144;137;7;49;88
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;ORIOVAC;002;ORIOVAC;PROSTORIJE KUD-A L. I. ORIOVČANIN ORIOVAC;ORIOVAC, FRANKOPANSKA 20;976;570;570;558;12;349;209
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;ORIOVAC;003;SLAVONSKI KOBAŠ;PODRUČNA ŠKOLA DR. STJEPAN ILIJAŠEVIĆ SLAVONSKI KOBAŠ;SLAVONSKI KOBAŠ, ULICA ZNG BB;937;450;450;438;12;184;254
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;ORIOVAC;004;LUŽANI;DRUŠTVENI DOM LUŽANI;LUŽANI, VLADIMIRA NAZORA BB;825;350;350;337;13;176;161
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;ORIOVAC;005;CIGLENIK;DRUŠTVENI DOM;CIGLENIK B.B.;127;72;72;72;0;57;15
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;ORIOVAC;006;BEČIC;PRIVATNA KUĆA;BEČIC 49;85;65;65;65;0;49;16
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;ORIOVAC;007;ŽIVIKE;DRUŠTVENI DOM;ŽIVIKE B.B.;179;88;88;87;1;47;40
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;ORIOVAC;008;PRIČAC;DRUŠTVENI DOM PRIČAC;PRIČAC BB;82;50;50;50;0;27;23
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;ORIOVAC;009;ORIOVAC;DRUŠTVENI DOM ORIOVAC;ORIOVAC, TRG HRVATSKOG PREPORODA 1;557;316;316;310;6;173;137
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;ORIOVAC;010;KUJNIK;DRUŠTVENI DOM KUJNIK;KUJNIK BB;259;137;137;134;3;63;71
12;BRODSKO-POSAVSKA ŽUPANIJA;općina;ORIOVAC;011;MALINO;DRUŠTVENI DOM MALINO;MALINO, MATIJE GUPCA BB;419;218;218;214;4;101;113
