Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;IVAN RADIÆ;BERISLAV MLINAREVIÆ
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;001;OSIJEK;DVD RETFALA;ULICA ŠÁNDORA PETÖFIA 1;1112;332;332;307;25;183;124
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;002;OSIJEK;DVD RETFALA;ULICA ŠÁNDORA PETÖFIA 1;742;171;171;164;7;99;65
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;003;OSIJEK;MAÐARSKO KULTURNO DRUŠTVO NEPKÖR;ULICA ŠÁNDORA PETÖFIA 76;725;213;213;207;6;117;90
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;004;OSIJEK;"DJEÈJI VRTIÆ ""SUNÈICA""";KOLODVORSKA 61A;1066;346;346;333;13;200;133
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;005;OSIJEK;"OSNOVNA ŠKOLA ""RETFALA""";KAPELSKA ULICA 51A;1107;349;349;339;10;190;149
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;006;OSIJEK;"OSNOVNA ŠKOLA ""RETFALA""";KAPELSKA ULICA 51A;910;321;321;314;7;189;125
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;007;OSIJEK;OSNOVNA ŠKOLA IVANA FILIPOVIÆA;KALNIÈKA 48;995;253;253;238;15;132;106
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;008;OSIJEK;OSNOVNA ŠKOLA IVANA FILIPOVIÆA;KALNIÈKA 48;904;272;272;261;11;164;97
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;009;OSIJEK;OSNOVNA ŠKOLA IVANA FILIPOVIÆA;KALNIÈKA 48;905;242;242;231;11;137;94
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;010;OSIJEK;GRADSKA ÈETVRT RETFALA;ULICA LJUDEVITA POSAVSKOG 14A;708;219;219;210;9;139;71
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;011;OSIJEK;GRADSKA ÈETVRT RETFALA;ŠOKAÈKA ULICA 1;714;238;238;222;16;144;78
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;012;OSIJEK;GRADSKA ÈETVRT RETFALA;JOSIPA JURJA STROSSMAYERA 200;775;202;202;195;7;111;84
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;013;OSIJEK;GRADSKA ÈETVRT RETFALA;JOSIPA JURJA STROSSMAYERA 200;661;157;157;151;6;92;59
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;014;OSIJEK;OSNOVNA ŠKOLA VLADIMIRA BECIÆA;VIJENAC AUGUSTA CESARCA 36;1147;354;354;326;28;205;121
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;015;OSIJEK;OSNOVNA ŠKOLA VLADIMIRA BECIÆA;VIJENAC AUGUSTA CESARCA 36;717;257;257;241;16;156;85
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;016;OSIJEK;GRADSKA ÈETVRT GORNJI GRAD;JOSIPA JURJA STROSSMAYERA 68;963;321;321;304;17;182;122
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;017;OSIJEK;GRADSKA ÈETVRT GORNJI GRAD;ULICA ANDRIJE HEBRANGA 32;818;255;255;246;9;159;87
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;018;OSIJEK;GRADSKA ÈETVRT GORNJI GRAD;ULICA ANDRIJE HEBRANGA 32;504;134;134;124;10;84;40
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;019;OSIJEK;GRADSKA ÈETVRT GORNJI GRAD;ULICA ANDRIJE HEBRANGA 32;619;175;175;166;9;86;80
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;020;OSIJEK;GRADSKA ÈETVRT GORNJI GRAD;ULICA ANDRIJE HEBRANGA 32;807;222;222;208;14;117;91
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;021;OSIJEK;ZDRAVSTVENA STANICA DRAVA;PROLAZ JOSIPA LEOVIÆA 4;943;292;292;275;17;164;111
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;022;OSIJEK;VATROGASNI DOM;ULICA PAVLA PEJAÈEVIÆA 44;743;252;252;239;13;176;63
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;023;OSIJEK;GRADSKA ÈETVRT GORNJI GRAD;ULICA ADOLFA WALDINGERA 11;863;307;307;284;23;172;112
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;024;OSIJEK;GRADSKA ÈETVRT GORNJI GRAD;ULICA ADOLFA WALDINGERA 11;1008;310;310;287;23;178;109
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;025;OSIJEK;OSNOVNA ŠKOLA SVETE ANE;ULICA SV. ANE 2;1003;298;298;284;14;166;118
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;026;OSIJEK;GRADSKA ÈETVRT GORNJI GRAD;TRG LAVA MIRSKOG 1;534;163;163;151;12;87;64
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;027;OSIJEK;GRADSKA ÈETVRT GORNJI GRAD;TRG LAVA MIRSKOG 1;682;186;181;165;16;106;59
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;028;OSIJEK;OSNOVNA ŠKOLA FRANJE KREŽME;ŠKOLSKA 3;432;133;133;118;15;67;51
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;029;OSIJEK;OSNOVNA ŠKOLA ANTUNA MIHANOVIÆA;IVANA GUNDULIÆA 5;802;218;218;202;16;124;78
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;030;OSIJEK;SPORTSKA DVORANA ZRINJEVAC;SJEVERNA STRANA;934;283;283;266;17;166;100
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;031;OSIJEK;SPORTSKA DVORANA ZRINJEVAC;SJEVERNA STRANA;463;117;117;110;7;44;66
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;032;OSIJEK;"OSNOVNA ŠKOLA ""DOBRIŠA CESARIÆ""";NERETVANSKA 10;631;171;171;161;10;96;65
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;033;OSIJEK;"OSNOVNA ŠKOLA ""DOBRIŠA CESARIÆ""";NERETVANSKA 10;505;146;146;136;10;89;47
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;034;OSIJEK;GRADSKA ÈETVRT INDUSTRIJSKA ÈETVRT;VIJENAC KRALJEVE SUTJESKE 2;687;225;225;212;13;137;75
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;035;OSIJEK;"OSNOVNA ŠKOLA ""AUGUST ŠENOA""";DRINSKA 14;571;177;177;170;7;104;66
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;036;OSIJEK;"DJEÈJI VRTIÆ ""PÈELICA""";GACKA 1A;607;190;190;185;5;124;61
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;037;OSIJEK;GRADSKA ÈETVRT INDUSTRIJSKA ÈETVRT, DVORAC MAÈKAMAMA;DRINSKA 2;513;157;157;154;3;97;57
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;038;OSIJEK;"PROSTORIJA UHDDR, TEMELJNI OGRANAK ""FILIPOVICA""";BEDNJANSKA ULICA BB;646;216;216;205;11;129;76
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;039;OSIJEK;"DJEÈJI VRTIÆ ""PÈELICA""";GACKA 1A;1006;302;302;288;14;203;85
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;040;OSIJEK;"OSNOVNA ŠKOLA ""AUGUST ŠENOA""";DRINSKA 14;1109;349;349;331;18;203;128
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;041;OSIJEK;GRADSKA ÈETVRT TVRÐA;TRG FRANJE BARUNA TRENKA 3;718;241;241;218;23;128;90
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;042;OSIJEK;GRADSKA ÈETVRT TVRÐA;TRG FRANJE BARUNA TRENKA 3;698;220;220;202;18;113;89
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;043;OSIJEK;ELEKTROTEHNIÈKA I PROMETNA ŠKOLA OSIJEK;ISTARSKA 3;703;218;218;195;23;118;77
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;044;OSIJEK;II.GIMNAZIJA OSIJEK;ULICA KAMILA FIRINGERA 5;301;85;85;74;11;37;37
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;045;OSIJEK;GRADSKA ÈETVRT TVRÐA;VIJENAC IVANA MEŠTROVIÆA 26F;900;292;292;270;22;156;114
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;046;OSIJEK;GRADSKA ÈETVRT TVRÐA;VIJENAC IVANA MEŠTROVIÆA 26F;714;216;216;202;14;113;89
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;047;OSIJEK;OSNOVNA ŠKOLA VIJENAC;VIJENAC IVANA MEŠTROVIÆA 36;478;132;132;120;12;72;48
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;048;OSIJEK;OSNOVNA ŠKOLA VIJENAC;VIJENAC IVANA MEŠTROVIÆA 36;531;145;145;136;9;89;47
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;049;OSIJEK;"DJEÈJI VRTIÆ ""STRIBOR""";VIJENAC IVANA MEŠTROVIÆA 7A;710;217;217;211;6;115;96
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;050;OSIJEK;VATROGASNI CENTAR OSIJEK;ULICA IVANA GORANA KOVAÈIÆA 2;682;185;185;174;11;108;66
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;051;OSIJEK;OSNOVNA ŠKOLA FRANA KRSTE FRANKOPANA;FRANKOPANSKA 64;497;170;170;165;5;86;79
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;052;OSIJEK;OSNOVNA ŠKOLA FRANA KRSTE FRANKOPANA;MARTINA DIVALTA 53;1119;289;289;279;10;155;124
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;053;OSIJEK;"DJEÈJI VRTIÆ ""JABUKA""";VIJENAC IVANA ÈESMIÈKOG 7A;433;105;105;100;5;62;38
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;054;OSIJEK;"OSNOVNA ŠKOLA ""MLADOST""";SJENJAK 7;1075;399;399;372;27;231;141
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;055;OSIJEK;"OSNOVNA ŠKOLA ""MLADOST""";SJENJAK 7;988;290;290;259;31;155;104
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;056;OSIJEK;GRADSKA ÈETVRT NOVI GRAD;SJENJAK 133;542;177;177;169;8;86;83
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;057;OSIJEK;GRADSKA ÈETVRT NOVI GRAD;SJENJAK 133;591;166;166;154;12;116;38
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;058;OSIJEK;GRADSKA ÈETVRT NOVI GRAD;SJENJAK 133;819;277;277;252;25;155;97
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;059;OSIJEK;GRADSKA ÈETVRT NOVI GRAD;UICA KRALJA PETRA SVAÈIÆA 36;667;197;197;184;13;111;73
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;060;OSIJEK;GRADSKA ÈETVRT NOVI GRAD;ULICA KRALJA PETRA SVAÈIÆA 36;686;206;206;187;19;120;67
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;061;OSIJEK;GRADSKA ÈETVRT NOVI GRAD;ULICA KRALJA PETRA SVAÈIÆA 36;1160;302;302;283;19;165;118
14;OSJEÈKO-BARANJSKA ŽUPANIJA;grad;OSIJEK;062;OSIJEK;GRADSKA ÈETVRT NOVI GRAD;ULICA KRALJA PETRA SVAÈIÆA 36;633;195;195;179;16;108;71
