Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ŽELJKO BURIĆ;TONČI RESTOVIĆ
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;001;BIRAČKO MJESTO 1;TURISTIČKO - UGOSTITELJSKA ŠKOLA;ANTE ŠUPUKA BB, ŠIBENIK;726;364;364;350;14;221;129
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;002;BIRAČKO MJESTO 2;ZAVOD ZA ZAPOŠLJAVANJE;MATIJE GUPCA 42 A , ŠIBENIK;486;223;223;209;14;109;100
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;003;BIRAČKO MJESTO 3;ZAVOD ZA ZAPOŠLJAVANJE;MATIJE GUPCA 42 A, ŠIBENIK;624;308;308;300;8;142;158
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;004;BIRAČKO MJESTO 4;OSNOVNA ŠKOLA JURJA ŠIŽGORIĆA;STJEPANA RADIĆA 44 A, ŠIBENIK;986;448;448;428;20;265;163
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;005;BIRAČKO MJESTO 5;OSNOVNA ŠKOLA JURJA ŠIŽGORIĆA;STJEPANA RADIĆA 44 A, ŠIBENIK;578;281;281;268;13;151;117
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;006;BIRAČKO MJESTO 6;OSNOVNA ŠKOLA JURJA ŠIŽGORIĆA;STJEPANA RADIĆA 44 A, ŠIBENIK;617;248;248;238;10;125;113
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;007;BIRAČKO MJESTO 7;OSNOVNA ŠKOLA TINA UJEVIĆA;TRG ANDRIJE HEBRANGA 11,  ŠIBENIK;844;386;386;369;17;215;154
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;008;BIRAČKO MJESTO 8;OSNOVNA ŠKOLA TINA UJEVIĆA;TRG ANDRIJE HEBRANGA 11,  ŠIBENIK;705;298;298;287;11;149;138
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;009;BIRAČKO MJESTO 9;OSNOVNA ŠKOLA TINA UJEVIĆA;TRG ANDRIJE HEBRANGA 11,  ŠIBENIK;925;404;404;386;18;234;152
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;ŠIBENIK;010;BIRAČKO MJESTO 10;OSNOVNA ŠKOLA TINA UJEVIĆA;TRG ANDRIJE HEBRANGA 11, ŠIBENIK;871;381;381;364;17;195;169
