Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MARKO JELIĆ;GORAN PAUK
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;001;BIRAČKO MJESTO 1;GLAZBENA  ŠKOLA U DRNIŠU;V. NAZORA 4;549;201;201;196;5;128;68
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;002;BIRAČKO MJESTO 2;SREDNJA ŠKOLA U DRNIŠU;POLJANA 1;710;281;281;279;2;197;82
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;003;BIRAČKO MJESTO 3;OSNOVNA ŠKOLA U DRNIŠU;ANTUNA MIHANOVIĆA 4;818;333;333;326;7;211;115
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;004;BIRAČKO MJESTO 4;SREDNJA ŠKOLA U DRNIŠU;POLJANA 1;480;176;176;176;0;109;67
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;005;BIRAČKO MJESTO 5;OSNOVNA ŠKOLA U DRINOVCIMA;OKO CRKVE 2;161;45;45;45;0;18;27
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;006;BIRAČKO MJESTO 6;KUĆA IVICE STOJANOVIĆA (ŠKITE) U KARALIĆU;KOD TRGOVINE 3;226;120;120;119;1;45;74
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;007;BIRAČKO MJESTO 7;KUĆA DAVORA BAČIĆA U BRIŠTANIMA;BAČIĆI 7;147;65;64;64;0;39;25
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;008;BIRAČKO MJESTO 8;KUĆA ILIJE GALIĆA U BOGATIĆU;KOD ŠKOLE 1;85;53;53;50;3;29;21
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;009;BIRAČKO MJESTO 9;KUĆA DANICE LJUBIĆ U KLJUČU;KLJUČ 23;127;87;87;84;3;11;73
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;010;BIRAČKO MJESTO 10;OSNOVNA  ŠKOLA U KAOČINAMA;KOD ŠKOLE KULUŠIĆI 20;201;90;90;84;6;42;42
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;011;BIRAČKO MJESTO 11;OSNOVNA ŠKOLA U TRBOUNJU;KOD ŠKOLE 4;197;67;67;66;1;39;27
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;012;BIRAČKO MJESTO 12;KUĆA IVICE TARLE U VELUŠIĆU;TARLE 5;78;28;28;28;0;15;13
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;013;BIRAČKO MJESTO 13;PROSTORIJA ŽELJEZNIČKOG KOLODVORA DRNIŠ U BADNJU, BADANJ;ŽELJEZNIČKA STANICA 6 A;221;81;81;79;2;49;30
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;014;BIRAČKO MJESTO 14;KUĆA ZVONIMIRA DŽALE U KRIČKAMA;KOD CRKVE KRALJICE MIRA 20;194;65;65;64;1;31;33
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;015;BIRAČKO MJESTO 15;OSNOVNA ŠKOLA U SEDRAMIĆU;MILAKOVIĆI 1;159;79;79;77;2;12;65
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;016;BIRAČKO MJESTO 16;KUĆA MILE MUJANA U ŽITNIĆU;MUJANI 4B, ŽITNIĆ;139;47;47;47;0;34;13
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;017;BIRAČKO MJESTO 17;OSNOVNA ŠKOLA U PAKOVU SELU;KOD ŠKOLE 10;177;129;129;127;2;33;94
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;018;BIRAČKO MJESTO 18;OSNOVNA ŠKOLA U POKROVNIKU;LUCIĆI 29;185;102;102;101;1;43;58
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;019;BIRAČKO MJESTO 19;OSNOVNA ŠKOLA U RADONIĆU;KOD ŠKOLE 1;327;87;87;83;4;41;42
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;020;BIRAČKO MJESTO 20;OSNOVNA ŠKOLA U SIVERIĆU;OKO ŠKOLE 7;441;195;195;193;2;114;79
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;021;BIRAČKO MJESTO 21;KUĆA MIROSLAVA ĆOSIĆA U TEPLJUHU;PERIČIĆI 16;115;23;23;23;0;18;5
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;022;BIRAČKO MJESTO 22;KUĆA DRAGANA GUNDELJA U BIOČIĆU;GUNDELJI I DEVIĆI 11;93;18;18;18;0;18;0
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;023;BIRAČKO MJESTO 23;DOM KULTURE U MIOČIĆU;PUT PARČIĆA 1;94;21;21;21;0;19;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;024;BIRAČKO MJESTO 24;KUĆA DRAŽENA BAKOVIĆA  U PARČIĆU;BANOVCI 4 A;129;37;37;37;0;21;16
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;025;BIRAČKO MJESTO 25;KUĆA IVICE KRANJCA (GRILE) U KADINOJ GLAVICI;DONJE GORETE 7;159;62;62;62;0;32;30
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;DRNIŠ;026;BIRAČKO MJESTO 26;KUĆA BOŽICE VUDRAGOVIĆ U ŠTIKOVU;VUJEVIĆI 8;53;19;19;19;0;15;4
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;001;BIRAČKO MJESTO 1;"ZGRADA ""HRVATSKIH CESTA"", NADCESTARIJA KNIN";DRNIŠKA CESTA 46, KNIN;120;59;59;59;0;45;14
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;002;BIRAČKO MJESTO 2;ZGRADA VELEUČILIŠTA MARKO MARULIĆ;KREŠIMIROVA 30, KNIN;598;312;312;306;6;212;94
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;003;BIRAČKO MJESTO 3;ZGRADA VELEUČILIŠTA MARKO MARULIĆ;KREŠIMIROVA 30, KNIN;674;307;307;302;5;207;95
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;004;BIRAČKO MJESTO 4;"PROSTORIJE ""UPRAVITELJ KNIN"", (BIVŠA TRŽNICA KNIN D.O.O)";VUKOVARSKA 2, KNIN;693;317;317;313;4;215;98
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;005;BIRAČKO MJESTO 5;"PROSTORIJE ""UPRAVITELJ KNIN"" (BIVŠA TRŽNICA D.O.O.)";VUKOVARSKA 2, KNIN;670;329;329;324;5;227;97
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;006;BIRAČKO MJESTO 6;ZGRADA OSNOVNE ŠKOLE DOMOVINSKE ZAHVALNOSTI;JOVIĆEVA 2, KNIN;839;422;422;413;9;310;103
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;007;BIRAČKO MJESTO 7;ZGRADA OSNOVNE ŠKOLE DOMOVINSKE ZAHVALNOSTI;JOVIĆEVA 2, KNIN;779;397;397;384;13;292;92
