Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;MIRO BULJ;IGOR VIDALINA
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;001;BIRAÈKO MJESTO 1. U SINJU;GALERIJA GALIOTOVIÆ;BRNAŠKA 44;927;441;441;433;8;284;149
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;002;BIRAÈKO MJESTO 2. U SINJU;GALERIJA GALIOTOVIÆ;BRNAŠKA 44;1676;846;846;822;24;453;369
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;003;BIRAÈKO MJESTO 3. U SINJU;"DJEÈJI VRTIÆ ""BILI CVITAK"" ŠTALIJA";KNEZA BRANIMIRA 2;851;445;445;425;20;257;168
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;004;BIRAÈKO MJESTO 4. U SINJU;"DJEÈJI VRTIÆ ""BILI CVITAK"" ŠTALIJA";KNEZA BRANIMIRA 2;1600;746;745;719;26;411;308
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;005;BIRAÈKO MJESTO 5. U SINJU;"OŠ ""MARKA MARULIÆA""";VLADIMIRA NAZORA 33;1855;968;968;933;35;658;275
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;006;BIRAÈKO MJESTO 6. U SINJU;DOM MLADIH SINJ;LIVANJSKA BB;1209;577;576;540;36;348;192
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;007;BIRAÈKO MJESTO 7. U SINJU;DOM MLADIH SINJ;LIVANJSKA BB;1532;726;726;709;17;450;259
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;008;BIRAÈKO MJESTO 8. U BRNAZAMA;"DJEÈJI VRTIÆ ""ALKARIÆ""";BRNAZE;967;523;523;516;7;240;276
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;009;BIRAÈKO MJESTO 9. U BRNAZAMA;OŠ BRNAZE;BRNAZE;1779;996;996;987;9;376;611
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;010;BIRAÈKO MJESTO 10. U TURJACIMA;OŠ TURJACI;TURJACI;962;443;443;435;8;230;205
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;011;BIRAÈKO MJESTO 11. U GLAVICAMA DONJIM;OŠ U GLAVICAMA;GLAVICE DONJE;1731;799;799;775;24;426;349
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;012;BIRAÈKO MJESTO 12. GLAVICE GORNJE;OŠ U GLAVICAMA, GLAVICE DONJE;OŠ U GLAVICAMA, GLAVICE DONJE;1472;678;678;660;18;411;249
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;013;BIRAÈKO MJESTO 13. U HANU;OŠ U HANU;HAN;723;286;285;279;6;158;121
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;014;BIRAÈKO MJESTO 14. U BAJAGIÆU;OŠ BAJAGIÆ;BAJAGIÆ;492;200;200;198;2;103;95
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;015;BIRAÈKO MJESTO 15. U GLJEVU;OŠ U GLJEVU;GLJEV;278;143;143;139;4;68;71
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;016;BIRAÈKO MJESTO 16. U RADOŠIÆU;OŠ U RADOŠIÆU;RADOŠIÆ;565;282;282;278;4;192;86
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;017;BIRAÈKO MJESTO 17. U SUHAÈU;"PODUZEÆE ""CIGLANE"" U SLANICI";SLANICA;488;338;338;332;6;301;31
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;018;BIRAÈKO MJESTO 18. U LUÈANIMA;OŠ U LUÈANIMA;LUÈANI;538;312;312;308;4;220;88
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;019;BIRAÈKO MJESTO 19. U KARAKAŠICI;OŠ U KARAKAŠICI;KARAKAŠICA;595;337;337;336;1;204;132
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;020;BIRAÈKO MJESTO 20. U JASENSKOM;KUÆA MARIJE ŠUŠNJARE;JASENSKO 55 A;294;134;134;133;1;75;58
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;021;BIRAÈKO MJESTO 21. U ÈITLUKU;OŠ U ÈITLUKU;ÈITLUK;419;261;261;259;2;112;147
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SINJ;022;BIRAÈKO MJESTO 22. U ZELOVU;"U PROSTORIJAMA BIVŠEG PODUZEÆA ""KONKURENT"" (BIVŠA PRODAVAONICA)";ZELOVO;143;80;80;76;4;52;24
