Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DAMIR KAJIN;DEAN PRODAN
18;ISTARSKA ŽUPANIJA;grad;BUZET;001;BUZET - ISTOK;NARODNI DOM;II ISTARSKE BRIGADE 2, BUZET;1025;594;594;574;20;320;254
18;ISTARSKA ŽUPANIJA;grad;BUZET;002;BUZET - ZAPAD;NARODNI DOM;2. ISTARSKE BRIGADE 2, BUZET;558;326;326;317;9;198;119
18;ISTARSKA ŽUPANIJA;grad;BUZET;003;BUZET - STARI GRAD;ZAVIČAJNI MUZEJ;ULICA RAŠPORSKIH KAPETANA 2, BUZET;320;157;157;156;1;88;68
18;ISTARSKA ŽUPANIJA;grad;BUZET;004;KRUŠVARI;DRUŠTVENI DOM KRUŠVARI;KRUŠVARI 1, KRUŠVARI;233;112;112;110;2;63;47
18;ISTARSKA ŽUPANIJA;grad;BUZET;005;HUM;"DRUŠTVENI DOM ""POLAČA""";HUM;125;71;71;70;1;22;48
18;ISTARSKA ŽUPANIJA;grad;BUZET;006;ROČ;DRUŠTVENI DOM ROČ;ROČ;398;186;186;177;9;99;78
18;ISTARSKA ŽUPANIJA;grad;BUZET;007;ROČKO POLJE;ZGRADA ŠKOLE ROČKO POLJE;ROČKO POLJE;144;85;85;84;1;57;27
18;ISTARSKA ŽUPANIJA;grad;BUZET;008;SOVINJAK;DRUŠTVENI DOM SOVINJAK;SOVINJAK 11, SOVINJAK;159;81;81;79;2;50;29
18;ISTARSKA ŽUPANIJA;grad;BUZET;009;SOVIŠĆINA;PRIVATNA KUĆA U VLASNIŠTVU ĐULIJANA KRTA;PUHI 54, PUHI;94;43;43;43;0;20;23
18;ISTARSKA ŽUPANIJA;grad;BUZET;010;SVETI IVAN;PROSTOR BARAKE DRUŠTVENOG DOMA;SVETI IVAN 22, BUZET;303;193;193;187;6;110;77
18;ISTARSKA ŽUPANIJA;grad;BUZET;011;SVETI MARTIN;DRUŠTVENI DOM;SVETI MARTIN 51, BUZET;420;240;240;236;4;166;70
18;ISTARSKA ŽUPANIJA;grad;BUZET;012;SVI SVETI;DRUŠTVENI DOM PRODANI;PRODANI;304;174;174;167;7;116;51
18;ISTARSKA ŽUPANIJA;grad;BUZET;013;ŠTRPED;DRUŠTVENI DOM SVETI DUH;ŠTRPED;315;201;201;198;3;114;84
18;ISTARSKA ŽUPANIJA;grad;BUZET;014;ŠKULJARI;DRUŠTVENI DOM ŠKULJARI;ŠKULJARI;125;72;72;72;0;49;23
18;ISTARSKA ŽUPANIJA;grad;BUZET;015;VELI MLUN;DRUŠTVENI DOM;VELI MLUN 28, VELI MLUN;109;65;65;62;3;31;31
18;ISTARSKA ŽUPANIJA;grad;BUZET;016;VRH;DRUŠTVENI DOM VRH;VRH;442;237;237;224;13;132;92
